phrase,risk_weight,category
trai regulation,0.82,Telecom Fraud
within 30 minutes,0.82,Urgency Tactic
aadhaar card,0.8,Identity Fraud
airdroid,0.8,Remote Access Scam
amazon gift card,0.8,Lottery Scam
collect request,0.8,UPI Fraud
debit card,0.8,Banking Fraud
dnd violation,0.8,Telecom Fraud
download this software,0.8,Remote Access Scam
final warning,0.8,Urgency Tactic
fine amount,0.8,Money Transfer Fraud
follow the link,0.8,Remote Access Scam
four digit code,0.8,OTP Fraud
ifsc code,0.8,Banking Fraud
income tax department,0.8,Government Impersonation
install this app,0.8,Remote Access Scam
it department,0.8,Government Impersonation
pan number,0.8,Identity Fraud
passport number,0.8,Data Theft
password,0.8,Credential Theft
pay now,0.8,Money Transfer Fraud
processing fee,0.8,Money Transfer Fraud
quick support,0.8,Remote Access Scam
rbi,0.8,Government Impersonation
re-kyc,0.8,Banking Fraud
registration fee,0.8,Money Transfer Fraud
release fee,0.8,Money Transfer Fraud
telecom authority,0.8,Telecom Fraud
telegram group earning,0.8,Investment Fraud
trai,0.8,Government Impersonation
verification code,0.8,OTP Fraud
within 2 hours,0.8,Urgency Tactic
you are selected,0.8,Lottery Scam
zero risk,0.8,Investment Fraud
advance payment,0.78,Money Transfer Fraud
challan fee,0.78,Money Transfer Fraud
clearance fee,0.78,Money Transfer Fraud
like and earn,0.78,Investment Fraud
payment required,0.78,Money Transfer Fraud
scan the qr,0.78,UPI Fraud
screen sharing,0.78,Remote Access Scam
security deposit,0.78,Money Transfer Fraud
tax refund,0.78,Government Impersonation
tds refund,0.78,Government Impersonation
telecom regulatory,0.78,Government Impersonation
ten lakh,0.78,Lottery Scam
within an hour,0.78,Urgency Tactic
aadhaar,0.75,Identity Fraud
account number,0.75,Banking Fraud
allow access,0.75,Remote Access Scam
before it is too late,0.75,Urgency Tactic
between us,0.75,Secrecy Demand
customs duty,0.75,Money Transfer Fraud
deadline today,0.75,Urgency Tactic
do not share otp,0.75,OTP Fraud
grant permission,0.75,Remote Access Scam
income tax,0.75,Government Impersonation
insurance amount,0.75,Money Transfer Fraud
internet banking,0.75,Banking Fraud
net banking,0.75,Banking Fraud
refund process,0.75,Banking Fraud
task based earning,0.75,Investment Fraud
token amount,0.75,Money Transfer Fraud
upi id,0.75,UPI Fraud
visit this website,0.75,Remote Access Scam
within 24 hours,0.75,Urgency Tactic
act now,0.72,Urgency Tactic
confirm your details,0.72,Data Theft
critical alert,0.72,Urgency Tactic
crypto investment,0.72,Investment Fraud
earn daily,0.72,Investment Fraud
enter the code,0.72,OTP Fraud
expire today,0.72,Urgency Tactic
fingerprint verification,0.72,Identity Fraud
forex trading,0.72,Investment Fraud
form 16,0.72,Data Theft
high returns,0.72,Investment Fraud
last chance,0.72,Urgency Tactic
pm scheme,0.72,Government Impersonation
private matter,0.72,Secrecy Demand
without any delay,0.72,Urgency Tactic
bhim upi,0.7,UPI Fraud
biometric,0.7,Identity Fraud
daily income,0.7,Investment Fraud
do not delay,0.7,Urgency Tactic
earn from home,0.7,Investment Fraud
failed transaction,0.7,Banking Fraud
free gift,0.7,Lottery Scam
government scheme,0.7,Government Impersonation
identity proof,0.7,Data Theft
immediately,0.7,Urgency Tactic
investment opportunity,0.7,Investment Fraud
last opportunity,0.7,Urgency Tactic
pan card,0.7,Identity Fraud
refund amount,0.7,Banking Fraud
residential address,0.7,Data Theft
salary slip,0.7,Data Theft
time is running out,0.7,Urgency Tactic
trading app,0.7,Investment Fraud
transaction failed,0.7,Banking Fraud
upi transaction,0.7,UPI Fraud
verify your identity,0.7,Data Theft
current address,0.68,Data Theft
data entry job,0.68,Investment Fraud
urgent,0.68,Urgency Tactic
bitcoin,0.65,Investment Fraud
expires in,0.65,Urgency Tactic
gift voucher,0.65,Lottery Scam
limited time,0.65,Urgency Tactic
mother's name,0.65,Data Theft
part time job,0.65,Investment Fraud
photo id,0.65,Data Theft
reward points,0.65,Lottery Scam
right now,0.65,Urgency Tactic
voter id,0.65,Identity Fraud
work from home,0.65,Investment Fraud
cashback offer,0.6,Lottery Scam
date of birth,0.6,Data Theft
driving licence,0.6,Identity Fraud
emergency,0.6,Urgency Tactic
google pay,0.6,UPI Fraud
minimum balance,0.6,Banking Fraud
paytm,0.6,UPI Fraud
phonepe,0.6,UPI Fraud
email address,0.55,Data Theft
